EXTRACTING STARTED at:05:00:02
Current time:05:15:18 users_left:714 current_user:925163851
Current time:05:15:18 users_left:713 current_user:280246401
Current time:05:15:18 users_left:712 current_user:753936512
Current time:05:15:18 users_left:711 current_user:432690471
Current time:05:15:18 users_left:710 current_user:1347862034
Current time:05:15:19 users_left:709 current_user:635197399
Current time:05:15:19 users_left:708 current_user:33029563
Current time:05:15:19 users_left:707 current_user:773348876
Current time:05:15:19 users_left:706 current_user:95436148
Current time:05:15:19 users_left:705 current_user:741219409
Current time:05:15:19 users_left:704 current_user:1611635630
Current time:05:15:19 users_left:703 current_user:231936329
Current time:05:15:19 users_left:702 current_user:83270779
Current time:05:15:19 users_left:701 current_user:479060329
Current time:05:15:19 users_left:700 current_user:1211838278
Current time:05:15:19 users_left:699 current_user:1107122221
Current time:05:15:19 users_left:698 current_user:1667805960
Current time:05:15:19 users_left:697 current_user:292249901
Current time:05:15:20 users_left:696 current_user:59191300
Current time:05:15:20 users_left:695 current_user:472304074
Current time:05:15:20 users_left:694 current_user:821438388
Current time:05:15:20 users_left:693 current_user:74750975
Current time:05:15:20 users_left:692 current_user:1645509972
Current time:05:15:20 users_left:691 current_user:1313422142
SECONDS TO SLEEP: 900s
Time when to request again: 05:30:20
Current time:05:15:20 users_left:690 current_user:11715322
Current time:05:15:20 users_left:689 current_user:519394700
Current time:05:15:20 users_left:688 current_user:1390206073
Current time:05:15:20 users_left:687 current_user:458315271
Current time:05:15:20 users_left:686 current_user:432029462
Current time:05:15:20 users_left:685 current_user:389570890
Current time:05:15:21 users_left:684 current_user:29570969
Current time:05:15:21 users_left:683 current_user:322043530
Current time:05:15:21 users_left:682 current_user:96894775
Current time:05:15:21 users_left:681 current_user:1938481520
Current time:05:15:21 users_left:680 current_user:251280812
Current time:05:15:21 users_left:679 current_user:384459948
Current time:05:15:21 users_left:678 current_user:1731769214
Current time:05:15:21 users_left:677 current_user:361431891
Current time:05:15:21 users_left:676 current_user:1304855779
Current time:05:15:21 users_left:675 current_user:80384431
Current time:05:15:21 users_left:674 current_user:1083900458
Current time:05:15:22 users_left:673 current_user:268241186
Current time:05:15:22 users_left:672 current_user:14674437
Current time:05:15:22 users_left:671 current_user:135865225
Current time:05:15:22 users_left:670 current_user:223137625
Current time:05:15:22 users_left:669 current_user:344830309
Current time:05:15:22 users_left:668 current_user:1031343955
Current time:05:15:22 users_left:667 current_user:56667539
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:30:16
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:30:16
Current time:05:15:22 users_left:666 current_user:2237833136
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:30:16
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:30:16
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:30:16
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:30:16
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:30:16
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:30:16
Current time:05:15:22 users_left:665 current_user:1272418009
Going to sleep for 893 seconds cause the rate limit status for friends told me so
Time when to continue: 05:30:16
Going to sleep for 893 seconds cause the rate limit status for friends told me so
Time when to continue: 05:30:16
Current time:05:30:17 users_left:664 current_user:528511574
Current time:05:30:17 users_left:663 current_user:115994003
Current time:05:30:17 users_left:662 current_user:1169858990
